jvs_id,Male_or_Female,minf0[Hz],maxf0[Hz],min_f0,mean_f0,max_f0,hnr,mean_f1,mean_f2,rms_mean,rms_std,rms_min,rms_max,rms_dynamic_range,odd_ratio_1,even_ratio_1,odd_ratio_2,even_ratio_2,filepath
jvs001,M,70,300,70.042,163.866,262.053,15.451,684.401,1680.586,0.041,0.035,0.010,0.116,21.280,65.369,34.631,66.894,33.106,../data/raw/jvs_ver1/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs002,F,130,390,74.016,242.240,347.291,19.409,683.970,1759.153,0.035,0.021,0.010,0.074,16.937,83.597,16.403,77.036,22.964,../data/raw/jvs_ver1/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs003,M,70,275,75.158,157.034,229.810,17.435,708.176,1813.145,0.024,0.019,0.011,0.056,14.428,71.345,28.655,66.987,33.013,../data/raw/jvs_ver1/jvs003/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs004,F,130,430,80.800,282.697,381.956,17.669,754.887,1774.469,0.048,0.036,0.010,0.139,22.615,66.966,33.034,75.198,24.802,../data/raw/jvs_ver1/jvs004/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs005,M,70,285,68.730,148.214,236.337,14.704,672.838,1689.189,0.033,0.027,0.011,0.105,19.678,55.737,44.263,41.874,58.126,../data/raw/jvs_ver1/jvs005/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs006,M,70,190,63.528,99.714,132.892,14.745,665.008,1708.198,0.032,0.027,0.010,0.096,19.574,71.109,28.891,73.764,26.236,../data/raw/jvs_ver1/jvs006/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs007,F,125,390,94.420,223.746,324.210,19.136,714.609,1834.344,0.035,0.028,0.010,0.095,19.386,81.902,18.098,88.151,11.849,../data/raw/jvs_ver1/jvs007/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs008,F,115,400,68.766,232.667,337.899,18.941,662.281,1773.969,0.042,0.026,0.010,0.083,18.039,84.272,15.728,90.979,9.021,../data/raw/jvs_ver1/jvs008/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs009,M,70,235,66.480,117.954,171.450,13.373,744.473,1877.268,0.036,0.030,0.012,0.096,18.063,52.387,47.613,41.842,58.158,../data/raw/jvs_ver1/jvs009/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs010,F,125,480,76.062,303.285,452.320,19.500,778.607,1872.642,0.035,0.025,0.010,0.094,19.038,89.246,10.754,88.373,11.627,../data/raw/jvs_ver1/jvs010/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
