jvs_id,lam5,lam10,lam20,lam40,Male_or_Female,minf0[Hz],maxf0[Hz],min_f0,mean_f0,max_f0,hnr,mean_f1,mean_f2,rms_mean,rms_std,rms_min,rms_max,rms_dynamic_range,odd_ratio_1,even_ratio_1,odd_ratio_2,even_ratio_2,filepath
jvs002,0,0,4,6,F,130,390,74.016,242.24,347.291,19.409,683.97,1759.153,0.035,0.021,0.01,0.074,16.937,83.597,16.403,77.036,22.964,data/raw/jvs_ver1/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs004,3,4,10,7,F,130,430,80.8,282.697,381.956,17.669,754.887,1774.469,0.048,0.036,0.01,0.139,22.615,66.966,33.034,75.198,24.802,data/raw/jvs_ver1/jvs004/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs007,2,0,4,8,F,125,390,94.42,223.746,324.21,19.136,714.609,1834.344,0.035,0.028,0.01,0.095,19.386,81.902,18.098,88.151,11.849,data/raw/jvs_ver1/jvs007/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs008,0,9,4,7,F,115,400,68.766,232.667,337.899,18.941,662.281,1773.969,0.042,0.026,0.01,0.083,18.039,84.272,15.728,90.979,9.021,data/raw/jvs_ver1/jvs008/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs010,2,9,7,2,F,125,480,76.062,303.285,452.32,19.5,778.607,1872.642,0.035,0.025,0.01,0.094,19.038,89.246,10.754,88.373,11.627,data/raw/jvs_ver1/jvs010/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs014,7,5,1,10,F,130,470,125.245,294.669,466.852,18.309,801.013,1771.255,0.034,0.026,0.011,0.092,18.331,74.446,25.554,62.984,37.016,data/raw/jvs_ver1/jvs014/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs015,0,0,0,7,F,130,435,73.386,256.788,344.102,18.102,743.637,1828.499,0.041,0.031,0.01,0.1,19.83,83.395,16.605,75.098,24.902,data/raw/jvs_ver1/jvs015/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs016,3,0,10,7,F,110,340,75.595,217.183,308.145,18.567,701.607,1756.096,0.051,0.037,0.011,0.132,21.735,76.91,23.09,86.068,13.932,data/raw/jvs_ver1/jvs016/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs017,0,3,4,7,F,120,390,134.707,228.575,314.337,18.278,754.158,1698.016,0.049,0.032,0.011,0.111,19.997,84.052,15.948,82.169,17.831,data/raw/jvs_ver1/jvs017/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs018,3,1,10,7,F,115,380,73.78,227.69,335.727,19.863,755.622,1830.563,0.046,0.042,0.011,0.159,23.197,87.982,12.018,83.774,16.226,data/raw/jvs_ver1/jvs018/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs019,0,9,9,9,F,125,410,69.367,250.864,351.721,17.123,747.017,1811.788,0.034,0.026,0.01,0.095,19.431,83.453,16.547,93.6,6.4,data/raw/jvs_ver1/jvs019/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs024,7,5,6,10,F,130,440,86.44,259.85,385.898,18.075,831.975,1821.869,0.026,0.023,0.011,0.083,17.654,71.58,28.42,53.631,46.369,data/raw/jvs_ver1/jvs024/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs025,0,5,4,3,F,115,370,76.455,241.866,340.439,19.1,737.881,1759.301,0.032,0.026,0.01,0.096,19.41,85.596,14.404,67.225,32.775,data/raw/jvs_ver1/jvs025/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs026,0,5,1,4,F,130,450,89.995,294.627,387.098,17.354,761.809,1818.047,0.032,0.02,0.011,0.076,17.108,77.522,22.478,71.273,28.727,data/raw/jvs_ver1/jvs026/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs027,10,9,9,7,F,120,400,69.458,248.725,358.064,17.849,683.681,1845.724,0.041,0.027,0.01,0.097,19.585,81.599,18.401,84.702,15.298,data/raw/jvs_ver1/jvs027/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs029,0,0,4,6,F,120,360,75.964,235.154,331.828,19.259,651.235,1746.21,0.036,0.028,0.01,0.093,19.178,89.353,10.647,84.54,15.46,data/raw/jvs_ver1/jvs029/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs030,3,0,10,7,F,130,420,81.891,250.708,361.849,19.162,746.491,1843.729,0.04,0.038,0.01,0.126,21.671,72.391,27.609,76.635,23.365,data/raw/jvs_ver1/jvs030/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs035,0,2,7,2,F,110,360,76.452,236.336,328.014,21.886,876.835,1990.372,0.027,0.031,0.012,0.104,18.658,82.391,17.609,90.269,9.731,data/raw/jvs_ver1/jvs035/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs036,0,5,8,10,F,135,440,159.472,281.655,370.591,17.514,859.917,1875.886,0.03,0.025,0.011,0.079,17.462,62.138,37.862,76.952,23.048,data/raw/jvs_ver1/jvs036/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs038,0,9,3,8,F,130,410,80.012,246.344,358.784,18.305,727.528,1868.846,0.031,0.02,0.01,0.065,16.194,80.238,19.762,89.077,10.923,data/raw/jvs_ver1/jvs038/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs039,0,9,3,2,F,120,430,74.236,260.983,391.894,18.909,763.285,1798.357,0.033,0.024,0.01,0.075,17.31,88.999,11.001,88.182,11.818,data/raw/jvs_ver1/jvs039/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs040,3,5,4,2,F,120,430,77.797,251.08,359.455,19.797,690.46,1789.353,0.042,0.027,0.013,0.099,17.548,70.637,29.363,80.039,19.961,data/raw/jvs_ver1/jvs040/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs043,0,0,4,2,F,120,350,89.705,233.722,306.165,21.255,659.858,1839.068,0.034,0.025,0.011,0.091,18.579,85.683,14.317,88.715,11.285,data/raw/jvs_ver1/jvs043/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs051,0,9,3,8,F,130,420,87.54,272.541,378.183,19.407,743.867,1852.369,0.029,0.019,0.01,0.063,15.922,84.876,15.124,89.437,10.563,data/raw/jvs_ver1/jvs051/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs053,0,9,3,8,F,125,420,101.273,250.026,351.669,21.016,690.817,1766.096,0.02,0.015,0.01,0.051,13.903,87.716,12.284,91.139,8.861,data/raw/jvs_ver1/jvs053/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs055,3,4,10,8,F,120,410,71.997,248.375,353.944,19.259,713.344,1706.556,0.046,0.038,0.014,0.129,19.49,89.975,10.025,90.748,9.252,data/raw/jvs_ver1/jvs055/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs056,3,1,10,3,F,120,410,68.471,235.784,341.55,21.808,654.784,1790.536,0.042,0.033,0.01,0.134,22.497,86.617,13.383,82.721,17.279,data/raw/jvs_ver1/jvs056/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs057,3,5,4,7,F,120,410,94.284,228.029,318.341,18.362,652.477,1883.189,0.045,0.03,0.011,0.104,19.826,72.511,27.489,72.085,27.915,data/raw/jvs_ver1/jvs057/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs058,2,9,4,2,F,110,420,102.2,239.166,355.306,20.55,716.379,1818.994,0.034,0.026,0.01,0.095,19.304,94.306,5.694,97.347,2.653,data/raw/jvs_ver1/jvs058/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs059,3,5,10,6,F,115,420,79.207,227.981,335.043,19.17,733.788,1802.449,0.048,0.036,0.011,0.115,20.662,60.24,39.76,71.478,28.522,data/raw/jvs_ver1/jvs059/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs060,0,0,0,1,F,130,440,81.692,247.198,338.648,18.758,720.812,1776.6,0.031,0.021,0.01,0.073,17.084,72.836,27.164,80.184,19.816,data/raw/jvs_ver1/jvs060/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs061,0,0,6,1,F,140,470,66.993,255.52,370.59,19.592,725.936,1805.79,0.019,0.015,0.01,0.058,15.121,66.417,33.583,75.86,24.14,data/raw/jvs_ver1/jvs061/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs062,0,5,6,1,F,115,390,79.626,238.067,333.912,17.35,826.401,1815.195,0.026,0.02,0.011,0.081,17.7,63.152,36.848,82.291,17.709,data/raw/jvs_ver1/jvs062/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs063,0,9,3,8,F,130,390,77.392,252.803,345.612,17.412,697.389,1775.525,0.031,0.021,0.01,0.067,16.366,80.931,19.069,90.719,9.281,data/raw/jvs_ver1/jvs063/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs064,3,5,10,1,F,120,350,92.92,226.766,280.367,18.793,802.863,1864.953,0.042,0.032,0.01,0.102,20.06,60.903,39.097,73.773,26.227,data/raw/jvs_ver1/jvs064/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs065,0,9,9,2,F,120,470,67.869,255.925,400.428,17.874,738.526,1837.315,0.032,0.025,0.01,0.099,19.503,83.754,16.246,86.063,13.937,data/raw/jvs_ver1/jvs065/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs066,3,4,10,7,F,120,480,94.779,260.151,400.158,18.76,733.369,1703.194,0.054,0.039,0.011,0.138,22.14,80.336,19.664,79.689,20.311,data/raw/jvs_ver1/jvs066/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs067,0,9,9,9,F,120,450,63.791,243.34,400.621,18.07,700.211,1809.403,0.035,0.032,0.011,0.12,20.962,94.004,5.996,87.62,12.38,data/raw/jvs_ver1/jvs067/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs069,2,3,4,7,F,120,420,133.815,236.428,319.633,20.078,700.584,1771.582,0.04,0.025,0.01,0.083,18.033,81.337,18.663,85.778,14.222,data/raw/jvs_ver1/jvs069/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs072,0,9,3,8,F,125,420,96.367,249.153,352.123,19.11,696.548,1717.045,0.029,0.02,0.01,0.065,15.901,81.016,18.984,90.034,9.966,data/raw/jvs_ver1/jvs072/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
