jvs_id,lam5,lam10,lam20,lam40,Male_or_Female,minf0[Hz],maxf0[Hz],min_f0,mean_f0,max_f0,hnr,mean_f1,mean_f2,rms_mean,rms_std,rms_min,rms_max,rms_dynamic_range,odd_ratio_1,even_ratio_1,odd_ratio_2,even_ratio_2,filepath
jvs001,10,10,7,10,M,70,300,70.042,163.866,262.053,15.451,684.401,1680.586,0.041,0.035,0.01,0.116,21.28,65.369,34.631,66.894,33.106,data/raw/jvs_ver1/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs003,6,1,5,7,M,70,275,75.158,157.034,229.81,17.435,708.176,1813.145,0.024,0.019,0.011,0.056,14.428,71.345,28.655,66.987,33.013,data/raw/jvs_ver1/jvs003/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs005,0,0,7,4,M,70,285,68.73,148.214,236.337,14.704,672.838,1689.189,0.033,0.027,0.011,0.105,19.678,55.737,44.263,41.874,58.126,data/raw/jvs_ver1/jvs005/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs006,0,2,10,7,M,70,190,63.528,99.714,132.892,14.745,665.008,1708.198,0.032,0.027,0.01,0.096,19.574,71.109,28.891,73.764,26.236,data/raw/jvs_ver1/jvs006/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs009,0,6,9,7,M,70,235,66.48,117.954,171.45,13.373,744.473,1877.268,0.036,0.03,0.012,0.096,18.063,52.387,47.613,41.842,58.158,data/raw/jvs_ver1/jvs009/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs011,0,10,1,10,M,70,310,67.901,169.397,267.963,16.66,698.512,1772.303,0.031,0.027,0.01,0.105,20.193,84.484,15.516,80.128,19.872,data/raw/jvs_ver1/jvs011/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs012,0,0,0,7,M,70,240,67.38,129.073,199.554,15.022,729.487,1789.121,0.03,0.028,0.011,0.092,18.62,63.408,36.592,59.983,40.017,data/raw/jvs_ver1/jvs012/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs013,10,10,7,10,M,70,290,76.11,168.865,244.618,15.539,783.946,1816.775,0.043,0.038,0.011,0.128,21.128,58.536,41.464,65.709,34.291,data/raw/jvs_ver1/jvs013/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs020,6,1,7,4,M,70,280,71.748,148.131,224.071,13.503,729.319,1751.796,0.035,0.028,0.012,0.094,17.752,63.294,36.706,48.485,51.515,data/raw/jvs_ver1/jvs020/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs021,5,2,4,1,M,70,220,62.963,98.688,142.425,14.176,699.276,1718.16,0.029,0.026,0.01,0.103,20.081,50.508,49.492,47.247,52.753,data/raw/jvs_ver1/jvs021/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs022,0,0,4,7,M,70,250,64.326,131.766,200.423,14.967,673.952,1713.245,0.036,0.031,0.01,0.116,20.945,75.236,24.764,57.76,42.24,data/raw/jvs_ver1/jvs022/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs023,0,2,9,2,M,70,260,65.398,135.992,195.191,12.553,820.517,1982.769,0.026,0.019,0.01,0.061,15.587,58.222,41.778,65.699,34.301,data/raw/jvs_ver1/jvs023/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs028,5,2,2,4,M,70,280,69.363,120.471,184.049,16.23,551.684,1583.88,0.048,0.026,0.011,0.089,18.198,51.966,48.034,53.506,46.494,data/raw/jvs_ver1/jvs028/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs031,0,2,10,7,M,70,290,63.629,128.304,191.907,14.544,672.278,1778.738,0.037,0.026,0.011,0.088,17.911,78.478,21.522,77.534,22.466,data/raw/jvs_ver1/jvs031/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs032,0,1,9,2,M,70,335,64.234,157.38,255.175,12.862,698.865,1839.642,0.031,0.024,0.011,0.079,16.853,66.586,33.414,63.827,36.173,data/raw/jvs_ver1/jvs032/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs033,8,6,7,8,M,70,250,73.142,150.832,283.557,14.106,760.041,1838.085,0.038,0.037,0.011,0.136,21.566,73.626,26.374,46.961,53.039,data/raw/jvs_ver1/jvs033/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs034,0,8,7,4,M,70,250,68.938,125.565,215.954,14.262,744.646,1863.234,0.034,0.029,0.01,0.089,18.9,63.278,36.722,43.577,56.423,data/raw/jvs_ver1/jvs034/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs037,5,2,4,4,M,70,240,63.134,109.554,168.706,13.707,652.311,1724.429,0.043,0.028,0.011,0.1,19.316,51.72,48.28,45.553,54.447,data/raw/jvs_ver1/jvs037/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs041,10,10,1,7,M,70,300,78.613,150.511,234.552,18.082,704.252,1755.906,0.036,0.028,0.011,0.118,20.794,72.802,27.198,77.981,22.019,data/raw/jvs_ver1/jvs041/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs042,10,2,2,7,M,70,220,69.032,134.952,185.246,17.213,668.392,1697.155,0.043,0.028,0.01,0.095,19.22,59.812,40.188,74.468,25.532,data/raw/jvs_ver1/jvs042/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs044,6,2,5,2,M,70,240,78.488,130.117,181.744,15.152,745.952,1867.481,0.021,0.018,0.01,0.061,15.533,81.043,18.957,86.163,13.837,data/raw/jvs_ver1/jvs044/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs045,0,6,7,3,M,70,280,71.192,147.141,226.274,13.234,752.299,1851.801,0.044,0.04,0.01,0.126,21.866,68.829,31.171,51.422,48.578,data/raw/jvs_ver1/jvs045/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs046,0,2,2,4,M,70,290,74.206,134.817,183.52,14.965,710.023,1701.975,0.04,0.031,0.011,0.093,18.601,54.188,45.812,66.248,33.752,data/raw/jvs_ver1/jvs046/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs047,10,10,1,8,M,70,330,77.805,144.775,213.84,17.697,687.901,1737.626,0.04,0.038,0.011,0.132,21.954,85.875,14.125,88.847,11.153,data/raw/jvs_ver1/jvs047/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs048,0,2,9,2,M,70,240,65.642,113.063,183.216,14.355,655.265,1760.557,0.019,0.014,0.01,0.052,13.974,56.559,43.441,75.072,24.928,data/raw/jvs_ver1/jvs048/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs049,0,2,0,7,M,70,250,69.013,125.873,180.8,16.709,707.128,1717.255,0.032,0.026,0.01,0.081,17.851,61.1,38.9,69.558,30.442,data/raw/jvs_ver1/jvs049/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs050,0,2,4,4,M,70,300,65.687,122.554,182.503,13.737,656.232,1685.549,0.038,0.024,0.011,0.085,18.1,60.576,39.424,54.506,45.494,data/raw/jvs_ver1/jvs050/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs052,10,10,7,10,M,70,300,66.0,162.308,259.806,15.283,746.07,1796.84,0.045,0.04,0.01,0.141,22.915,68.569,31.431,78.057,21.943,data/raw/jvs_ver1/jvs052/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs054,10,10,7,7,M,70,320,69.431,161.975,268.41,16.333,718.286,1726.981,0.04,0.028,0.01,0.089,18.921,47.798,52.202,72.979,27.021,data/raw/jvs_ver1/jvs054/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs068,0,2,9,2,M,70,260,64.921,128.926,188.393,14.923,742.338,1815.93,0.024,0.02,0.01,0.067,16.273,64.704,35.296,64.951,35.049,data/raw/jvs_ver1/jvs068/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs070,0,0,9,6,M,70,290,63.845,137.713,217.299,13.547,726.623,1731.97,0.035,0.028,0.012,0.096,18.0,71.192,28.808,66.844,33.156,data/raw/jvs_ver1/jvs070/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs071,2,2,9,7,M,70,230,64.828,112.339,161.654,15.25,829.452,1885.771,0.027,0.027,0.01,0.088,18.901,55.378,44.622,60.152,39.848,data/raw/jvs_ver1/jvs071/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs073,0,0,5,7,M,70,280,73.47,136.025,223.9,16.011,711.172,1746.79,0.033,0.024,0.01,0.08,17.853,70.564,29.436,64.896,35.104,data/raw/jvs_ver1/jvs073/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs074,10,2,4,7,M,70,280,67.153,120.253,188.146,16.941,673.718,1735.108,0.046,0.039,0.01,0.13,22.053,52.447,47.553,48.589,51.411,data/raw/jvs_ver1/jvs074/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs075,10,10,7,7,M,70,300,80.201,168.339,250.149,16.131,681.481,1693.788,0.047,0.039,0.011,0.134,21.537,65.473,34.527,65.506,34.494,data/raw/jvs_ver1/jvs075/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs076,0,0,7,8,M,70,290,67.551,156.299,243.529,14.421,757.69,1843.277,0.036,0.031,0.01,0.104,19.914,82.752,17.248,50.432,49.568,data/raw/jvs_ver1/jvs076/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs077,6,1,7,4,M,70,280,82.614,166.756,220.066,14.731,684.135,1763.986,0.034,0.021,0.011,0.068,16.175,64.939,35.061,48.571,51.429,data/raw/jvs_ver1/jvs077/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs078,0,2,9,2,M,70,220,69.216,118.564,169.304,14.403,731.013,1798.103,0.021,0.019,0.01,0.065,16.214,55.733,44.267,58.162,41.838,data/raw/jvs_ver1/jvs078/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs079,2,2,9,7,M,70,240,73.008,136.028,187.411,14.443,764.55,1841.96,0.026,0.023,0.011,0.085,18.057,45.258,54.742,53.882,46.118,data/raw/jvs_ver1/jvs079/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs080,10,0,7,8,M,70,300,64.295,152.964,233.131,14.134,729.503,1792.739,0.044,0.035,0.01,0.131,22.314,68.165,31.835,51.663,48.337,data/raw/jvs_ver1/jvs080/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs081,0,0,7,4,M,70,250,72.138,139.749,197.507,13.838,703.273,1734.727,0.045,0.031,0.011,0.098,19.068,65.359,34.641,53.594,46.406,data/raw/jvs_ver1/jvs081/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs086,10,8,7,10,M,70,290,69.43,138.659,228.931,14.741,771.32,1798.789,0.033,0.033,0.01,0.118,21.224,53.066,46.934,44.411,55.589,data/raw/jvs_ver1/jvs086/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs087,0,0,7,3,M,70,300,73.328,155.879,218.054,15.875,788.299,1842.801,0.049,0.041,0.01,0.119,21.453,70.811,29.189,48.892,51.108,data/raw/jvs_ver1/jvs087/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs088,0,2,0,7,M,70,260,68.17,133.113,201.096,14.396,715.904,1816.956,0.032,0.028,0.01,0.088,18.818,73.563,26.437,70.767,29.233,data/raw/jvs_ver1/jvs088/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs089,0,2,9,2,M,70,240,68.495,134.268,199.76,15.463,692.986,1756.529,0.023,0.016,0.011,0.065,15.438,54.236,45.764,71.603,28.397,data/raw/jvs_ver1/jvs089/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs097,0,1,5,2,M,70,305,68.843,165.366,254.49,16.432,743.488,1813.133,0.026,0.021,0.01,0.068,16.642,65.831,34.169,69.059,30.941,data/raw/jvs_ver1/jvs097/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs098,6,1,7,10,M,70,340,74.981,180.807,258.379,14.547,771.233,1764.961,0.028,0.023,0.011,0.091,18.486,64.241,35.759,54.711,45.289,data/raw/jvs_ver1/jvs098/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs099,0,10,5,10,M,70,300,65.431,170.456,261.102,16.994,724.889,1744.935,0.035,0.027,0.01,0.094,19.207,78.264,21.736,73.453,26.547,data/raw/jvs_ver1/jvs099/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs100,0,7,9,1,M,70,240,62.961,132.461,236.134,14.183,725.688,1712.919,0.026,0.022,0.01,0.075,17.258,52.555,47.445,47.423,52.577,data/raw/jvs_ver1/jvs100/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
